time,eda
63011.69111328342,0.10925400257110596
63011.75742669496,0.10927200317382812
63011.82374010649,0.10928399860858917
63011.89005351803,0.10929399728775024
63011.95636692957,0.10931099951267242
63012.022680341106,0.10932199656963348
63012.08899375264,0.10933700203895569
63012.155307164176,0.10934899747371674
63012.221620575714,0.10936500132083893
63012.287933987245,0.10938200354576111
63012.35424739878,0.10939300060272217
63012.42056081032,0.10939999669790268
63012.48687422186,0.10941199958324432
63012.55318763339,0.10941900312900543
63012.61950104493,0.10943300276994705
63012.68581445647,0.10944599658250809
63012.75212786801,0.10946399718523026
63012.81844127954,0.1094760000705719
63012.88475469108,0.10948800295591354
63012.951068102615,0.10950200259685516
63013.017381514146,0.10951600223779678
63013.083694925685,0.10952399671077728
63013.15000833722,0.10953699797391891
63013.21632174876,0.10954400151968002
63013.28263516029,0.10955599695444107
63013.34894857183,0.10957500338554382
63013.41526198337,0.1095850020647049
63013.48157539491,0.1095919981598854
63013.54788880644,0.10960999876260757
63013.61420221798,0.10961999744176865
63013.680515629516,0.1096389964222908
63013.74682904105,0.10965599864721298
63013.813142452585,0.10967200249433517
63013.879455864124,0.10969100147485733
63013.94576927566,0.10970500111579895
63014.01208268719,0.10971699655056
63014.07839609873,0.10973300039768219
63014.14470951027,0.10974500328302383
63014.2110229218,0.10976099967956543
63014.27733633334,0.10977700352668762
63014.34364974488,0.1097870022058487
63014.40996315642,0.10979899764060974
63014.47627656795,0.10981299728155136
63014.54258997949,0.109825000166893
63014.608903391025,0.10984300076961517
63014.67521680256,0.10985500365495682
63014.741530214094,0.10986699908971786
63014.80784362563,0.10988699644804001
63014.87415703717,0.1098949983716011
63014.9404704487,0.1099110022187233
63015.00678386024,0.10992500185966492
63015.07309727178,0.10994099825620651
63015.13941068332,0.10995800048112869
63015.20572409485,0.10997200012207031
63015.27203750639,0.10998299717903137
63015.338350917926,0.10999800264835358
63015.404664329464,0.11001300066709518
63015.470977740995,0.11003199964761734
63015.537291152534,0.11004400253295898
63015.60360456407,0.11005599796772003
63015.6699179756,0.11006700247526169
63015.73623138714,0.11008100211620331
63015.80254479868,0.11009299755096436
63015.86885821022,0.11010400205850601
63015.93517162175,0.11011900007724762
63016.00148503329,0.11013299971818924
63016.06779844483,0.11015400290489197
63016.13411185636,0.11016999930143356
63016.200425267896,0.11018399894237518
63016.266738679435,0.11019100248813629
63016.33305209097,0.11021099984645844
63016.399365502504,0.1102209985256195
63016.46567891404,0.1102370023727417
63016.53199232558,0.1102529987692833
63016.59830573712,0.11026699841022491
63016.66461914865,0.11028099805116653
63016.73093256019,0.11029200255870819
63016.79724597173,0.11030899733304977
63016.86355938326,0.11032699793577194
63016.9298727948,0.11033599823713303
63016.996186206336,0.1103530004620552
63017.062499617874,0.11036600172519684
63017.128813029405,0.11037799715995789
63017.19512644094,0.11039400100708008
63017.26143985248,0.11040599644184113
63017.32775326402,0.11041499674320221
63017.39406667555,0.11043400317430496
63017.46038008709,0.11043799668550491
63017.52669349863,0.1104549989104271
63017.59300691016,0.11046099662780762
63017.6593203217,0.11047700047492981
63017.72563373324,0.1104850023984909
63017.791947144775,0.11050699651241302
63017.858260556306,0.1105239987373352
63017.924573967844,0.11053799837827682
63017.99088737938,0.11055299639701843
63018.057200790914,0.11055800318717957
63018.12351420245,0.11057200282812119
63018.18982761399,0.11059200018644333
63018.25614102553,0.11060400307178497
63018.32245443706,0.11061800271272659
63018.3887678486,0.11063399910926819
63018.45508126014,0.11064500361680984
63018.521394671676,0.11065299808979034
63018.58770808321,0.11067099869251251
63018.654021494745,0.1106870025396347
63018.720334906284,0.1107029989361763
63018.786648317815,0.11071600019931793
63018.85296172935,0.110725998878479
63018.91927514089,0.11073900014162064
63018.98558855243,0.11075299978256226
63019.05190196396,0.11077100038528442
63019.1182153755,0.11078300327062607
63019.18452878704,0.11079499870538712
63019.25084219858,0.11080999672412872
63019.31715561011,0.11082900315523148
63019.383469021646,0.11084199696779251
63019.449782433185,0.11085599660873413
63019.516095844716,0.11087000370025635
63019.582409256254,0.11088400334119797
63019.64872266779,0.11089099943637848
63019.71503607933,0.11090199649333954
63019.78134949086,0.1109199970960617
63019.8476629024,0.11093399673700333
63019.91397631394,0.11094100028276443
63019.98028972547,0.11095499992370605
63020.04660313701,0.1109749972820282
63020.11291654855,0.11099500209093094
63020.179229960086,0.11100900173187256
63020.24554337162,0.11101099848747253
63020.311856783155,0.11102499812841415
63020.378170194694,0.11104100197553635
63020.44448360623,0.1110519990324974
63020.51079701776,0.11106999963521957
63020.5771104293,0.11107999831438065
63020.64342384084,0.11109299957752228
63020.70973725237,0.11110500246286392
63020.77605066391,0.11112300306558609
63020.84236407545,0.11113400012254715
63020.90867748699,0.1111460030078888
63020.97499089852,0.11115899682044983
63021.041304310056,0.11117299646139145
63021.107617721595,0.11118599772453308
63021.17393113313,0.11120200157165527
63021.240244544664,0.1112160012125969
63021.3065579562,0.11123400181531906
63021.37287136774,0.11124099791049957
63021.43918477927,0.11125200241804123
63021.50549819081,0.11126799881458282
63021.57181160235,0.11128199845552444
63021.63812501389,0.11129999905824661
63021.70443842542,0.11131100356578827
63021.77075183696,0.11132500320672989
63021.837065248495,0.11134099960327148
63021.90337866003,0.11135599762201309
63021.969692071565,0.1113630011677742
63022.0360054831,0.11138100177049637
63022.10231889464,0.11139699816703796
63022.16863230617,0.11140800267457962
63022.23494571771,0.11142200231552124
63022.30125912925,0.11143700033426285
63022.36757254079,0.11145299673080444
63022.43388595232,0.1114640012383461
63022.50019936386,0.11147800087928772
63022.5665127754,0.11149799823760986
63022.63282618693,0.11150799691677094
63022.699139598466,0.11151900142431259
63022.765453010004,0.11153700202703476
63022.83176642154,0.11155000329017639
63022.898079833074,0.11156100034713745
63022.96439324461,0.11157499998807907
63023.03070665615,0.11159700155258179
63023.09702006769,0.11160799860954285
63023.16333347922,0.11162400245666504
63023.22964689076,0.11163999885320663
63023.2959603023,0.11165300011634827
63023.36227371383,0.11166500300168991
63023.42858712537,0.11167799681425095
63023.494900536905,0.11169599741697311
63023.561213948444,0.1117049977183342
63023.627527359975,0.11172299832105637
63023.69384077151,0.11173699796199799
63023.76015418305,0.11175200343132019
63023.82646759458,0.11176399886608124
63023.89278100612,0.11177899688482285
63023.95909441766,0.1117900013923645
63024.0254078292,0.11180199682712555
63024.09172124073,0.11181499809026718
63024.15803465227,0.11183500289916992
63024.224348063806,0.11184000223875046
63024.290661475345,0.11185099929571152
63024.356974886876,0.11187300086021423
63024.423288298414,0.11188899725675583
63024.48960170995,0.11190199851989746
63024.555915121484,0.11191599816083908
63024.62222853302,0.11193100363016129
63024.68854194456,0.11194899678230286
63024.7548553561,0.11196199804544449
63024.82116876763,0.11197499930858612
63024.88748217917,0.11198499798774719
63024.95379559071,0.1120000034570694
