time,ppg
63011.656654745195,128638.0
63011.66670539477,128672.0
63011.67675604433,128691.0
63011.6868066939,128657.0
63011.69685734347,128701.0
63011.70690799304,128671.0
63011.71695864261,128679.0
63011.727009292175,128682.0
63011.73705994174,128681.0
63011.747110591314,128673.0
63011.75716124088,128651.0
63011.76721189045,128703.0
63011.77726254002,128651.0
63011.78731318958,128686.0
63011.797363839156,128685.0
63011.80741448872,128691.0
63011.817465138294,128692.0
63011.82751578786,128675.0
63011.837566437425,128680.0
63011.847617087,128662.0
63011.85766773656,128641.0
63011.86771838614,128640.0
63011.8777690357,128635.0
63011.88781968527,128611.0
63011.89787033484,128625.0
63011.907920984406,128608.0
63011.91797163397,128591.0
63011.928022283544,128590.0
63011.93807293311,128581.0
63011.94812358268,128595.0
63011.95817423225,128603.0
63011.96822488181,128591.0
63011.978275531386,128577.0
63011.98832618095,128560.0
63011.998376830525,128596.0
63012.00842748009,128567.0
63012.018478129656,128608.0
63012.02852877923,128592.0
63012.038579428794,128608.0
63012.04863007837,128618.0
63012.05868072793,128589.0
63012.0687313775,128579.0
63012.07878202707,128600.0
63012.088832676636,128644.0
63012.09888332621,128593.0
63012.108933975775,128629.0
63012.11898462534,128626.0
63012.12903527491,128586.0
63012.13908592448,128587.0
63012.149136574044,128652.0
63012.15918722362,128626.0
63012.16923787318,128607.0
63012.179288522755,128610.0
63012.18933917232,128610.0
63012.199389821886,128639.0
63012.20944047146,128608.0
63012.219491121024,128639.0
63012.2295417706,128613.0
63012.23959242016,128626.0
63012.24964306973,128615.0
63012.2596937193,128643.0
63012.26974436887,128608.0
63012.27979501844,128636.0
63012.289845668005,128659.0
63012.29989631757,128634.0
63012.30994696714,128593.0
63012.31999761671,128627.0
63012.33004826628,128655.0
63012.34009891585,128618.0
63012.35014956541,128630.0
63012.360200214986,128630.0
63012.37025086455,128641.0
63012.38030151412,128632.0
63012.39035216369,128632.0
63012.400402813255,128626.0
63012.41045346283,128610.0
63012.42050411239,128616.0
63012.43055476196,128642.0
63012.44060541153,128604.0
63012.4506560611,128622.0
63012.46070671067,128627.0
63012.470757360235,128639.0
63012.4808080098,128630.0
63012.490858659374,128632.0
63012.50090930894,128622.0
63012.51095995851,128654.0
63012.52101060808,128615.0
63012.53106125764,128625.0
63012.541111907216,128611.0
63012.55116255678,128594.0
63012.561213206354,128648.0
63012.57126385592,128631.0
63012.581314505485,128652.0
63012.59136515506,128626.0
63012.601415804624,128648.0
63012.61146645419,128640.0
63012.62151710376,128644.0
63012.63156775333,128635.0
63012.6416184029,128648.0
63012.651669052466,128673.0
63012.66171970203,128629.0
63012.671770351604,128674.0
63012.68182100117,128645.0
63012.69187165074,128662.0
63012.70192230031,128657.0
63012.71197294987,128674.0
63012.72202359945,128681.0
63012.73207424901,128670.0
63012.742124898585,128652.0
63012.75217554815,128702.0
63012.762226197716,128668.0
63012.77227684729,128654.0
63012.782327496854,128678.0
63012.79237814643,128630.0
63012.80242879599,128621.0
63012.81247944556,128638.0
63012.82253009513,128647.0
63012.832580744696,128600.0
63012.84263139426,128588.0
63012.852682043835,128599.0
63012.8627326934,128623.0
63012.87278334297,128584.0
63012.88283399254,128609.0
63012.892884642104,128606.0
63012.90293529168,128584.0
63012.91298594124,128564.0
63012.923036590815,128575.0
63012.93308724038,128615.0
63012.943137889946,128601.0
63012.95318853952,128593.0
63012.963239189085,128628.0
63012.97328983866,128553.0
63012.98334048822,128585.0
63012.99339113779,128617.0
63013.00344178736,128609.0
63013.01349243693,128550.0
63013.0235430865,128587.0
63013.033593736065,128570.0
63013.04364438563,128594.0
63013.0536950352,128567.0
63013.06374568477,128604.0
63013.073796334334,128640.0
63013.08384698391,128586.0
63013.09389763347,128627.0
63013.103948283046,128617.0
